video_id,comment,clean_comment,sentiment_score,sentiment_label,complaint_score,severity_score,svd_1,svd_2
PFHBRUj6fhM,These numb and dumb jackass clowns drive on the shoulder and cause my innocent folks to be at grave danger.,numb dumb jackass clown drive shoulder cause innocent folk grave danger,-0.24375000000000002,-1,1,2.24375,0.05684577726014226,-0.023624154472417825
PFHBRUj6fhM,"Gang stuff again,  fatigue.. refused treatment to not be in system",gang stuff fatigue refused treatment system,0.0,0,0,0.0,0.01618252388087479,0.0011982497151367478
PFHBRUj6fhM,"""The hoodrat 500"" surprise, surprise!🤣",hoodrat surprise surprise,0.0,0,0,0.0,0.0,0.0
PFHBRUj6fhM,People need to stop driving so damn fast 55 miles an hour to 45 miles an hour is fine there’s no need to rush. Your life is worth it.!!! That highway is like a race track the state please need to put photo speed traps in place to catch people writing the shoulder and going 100 miles an hour. I’ve been on the highway numerous times and people just fly right past me.,people need stop driving damn fast mile hour mile hour fine there need rush life worth highway like race track state please need put photo speed trap place catch people writing shoulder going mile hour ive highway numerous time people fly right past,0.29118835034013607,1,2,3.708811649659864,0.20376391614847636,-0.04548945903392412
PFHBRUj6fhM,"Nobody is talking about the way cars are continuing to drive unsafe on our expressways and streets , this behavior needs to be discussed everyday 😢",nobody talking way car continuing drive unsafe expressway street behavior need discussed everyday,-0.2,-1,1,2.2,0.14811382509586477,-0.0769798272631216
PFHBRUj6fhM,Caused by people who drive like lunatics with no consequences when is it going to be enough mobile speed cameras must be used to Force change in people's reckless driving habits,caused people drive like lunatic consequence going enough mobile speed camera must used force change people reckless driving habit,0.0,0,2,4.0,0.23732665701807498,-0.07466349364649062
PFHBRUj6fhM,Rest in Peace Karen Valdivia.,rest peace karen valdivia,0.0,0,0,0.0,0.014368605128504394,-0.0018286627308797682
PFHBRUj6fhM,"Little village macho BS. Let darwanism sort them out, acceptable loss for stupidity ego stroking, momma shoulda raised her failed abortion better 😂",little village macho b let darwanism sort acceptable loss stupidity ego stroking momma shoulda raised failed abortion better,-0.19687500000000002,-1,0,0.19687500000000002,0.04445858967794377,-0.002314617328597314
PFHBRUj6fhM,"Cameras needed on the highways. Chicago adds speed cameras, speed bumps, and other things to slow areas. They got it backwards, we need speed cameras on the highway. Got people going 80-90MPH in a 55mph then beeping like if we are going too slow. Then they are putting malicious straight angled speed bumps on central park and many other streets. Like they do these things on purpose to cause damage to cars. Yet the highway which has the most accidents and most terrible kinds of accidents due to people going so insanely fast has no speed cameras or enforcement of any kind.",camera needed highway chicago add speed camera speed bump thing slow area got backwards need speed camera highway got people going mph mph beeping like going slow putting malicious straight angled speed bump central park many street like thing purpose cause damage car yet highway accident terrible kind accident due people going insanely fast speed camera enforcement kind,0.04038461538461538,0,3,5.959615384615384,0.2227277483251659,-0.01603574544106507
PFHBRUj6fhM,"Drogas ….é uma droga, faz mal á saúde em geral.
Cuide do seu corpo, mente e psicológico.
Se ame.",drogas uma droga faz mal sade em geral cuide seu corpo mente e psicolgico se ame,0.0,0,0,0.0,0.007982635906159649,-0.0010516767661325466
PFHBRUj6fhM,From 87th Dan Ryan to 127th people always go the fast and Furious mode...always wanna be first and doing wreckless driving.,th dan ryan th people always go fast furious mode always wanna first wreckless driving,0.225,1,2,3.775,0.14678292022560882,-0.030930957174097332
PFHBRUj6fhM,"Show us who they are. Are they black, migrant or other?",show u black migrant,-0.14583333333333331,-1,0,0.14583333333333331,0.049972730586506156,0.0013951615789100287
PFHBRUj6fhM,Why are the judges and brandon Johnson allowing them to go free?,judge brandon johnson allowing go free,0.4,1,0,-0.4,0.056166793984679365,0.011032375076982046
PFHBRUj6fhM,Marijuana is less harmful than alcohol,marijuana less harmful alcohol,-0.16666666666666666,-1,0,0.16666666666666666,0.008392832077832998,-0.0020969121620214503
PFHBRUj6fhM,Burn in hell,burn hell,0.0,0,0,0.0,0.02498314441695474,-0.0021162897996530186
PFHBRUj6fhM,"Good, great, NASCAR 😮",good great nascar,0.75,1,0,-0.75,0.07018359656727621,0.014691928006815706
PFHBRUj6fhM,We were there at the scene when crashed happened my son made 911 call within seconds i spoke to policeofficer and made a report.  I saw at my left side rareview mirror First there was a chrash and driver went on right side off the shoulder when his/her car was on fire.  I parked my car  on right shoulder to see if there is chance to go safe passager in the car. But car was on fire right after chrashThen my son started make video we ran towards the car but car was on fully fire within seconds no one dare to go near it because there was fire around it. Iam not sure but when I see through mirror the car looked like it was Tesla car .,scene crashed happened son made call within second spoke policeofficer made report saw left side rareview mirror first chrash driver went right side shoulder car fire parked car right shoulder see chance go safe passager car car fire right chrashthen son started make video ran towards car car fully fire within second one dare go near fire around iam sure see mirror car looked like tesla car,0.18214285714285716,1,1,1.8178571428571428,0.32014546371440356,-0.1441617849114564
PFHBRUj6fhM,Carjack Uasse was taking his new ride for an endurance test and lost control,carjack uasse taking new ride endurance test lost control,0.13636363636363635,1,0,-0.13636363636363635,0.04215031410898997,-0.008280799286381708
k95z-yPj9Co,What's the purpose of the video if you're not going to show the body?,purpose video going show body,0.0,0,0,0.0,0.07070278106840344,-0.004614204353495528
oBUJQUFwBhQ,FA=FO!!!!!!!!😂,fa fo,0.0,0,0,0.0,0.0,0.0
oBUJQUFwBhQ,Driver should be charged with DWS - Driving While Stupid,driver charged dws driving stupid,-0.7999999999999999,-1,0,0.7999999999999999,0.14451210616750684,-0.10258378386230557
oBUJQUFwBhQ,"Of coarse........ bresking news what else could it be?? 
Cat farts in a tree... breaking news... its raining outside...breaking news... your all ridiculous.  Breaking news all media channels go away!",coarse bresking news else could cat fart tree breaking news raining outside breaking news ridiculous breaking news medium channel go away,-0.20833333333333331,-1,0,0.20833333333333331,0.04467349555493813,-0.003454666520985125
oBUJQUFwBhQ,Do you like it or not ?,like,0.0,0,0,0.0,0.34730010574478853,-0.1361263240229222
